Order Number,Plant Code,GL Exp Code,Part Number,Description part,Customer,Customer Type,Qty Ordered,Qty Shipped,Date Required,Date Shipped,Week Number,Month,% Filled, Status,%OTIF,Cause Description,Notes
1379916,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,STANDARD ELECTRIC COMPANY,WHOLESALE,1,0,6/13/2023,6/2/2023,Week 22,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379916,10,FC1,385010000,"BOWL 385 ADA 10"" WHT",STANDARD ELECTRIC COMPANY,WHOLESALE,7,0,6/13/2023,6/2/2023,Week 22,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380016,10,FC8,007471500,SEAT SB1500 NEW ENSO WHT,GRIGG INDUSTRIES,RETAIL,4,0,6/14/2023,6/2/2023,Week 22,June,0,ON TIME,0,Noncompliance Production/Availability,no stock 
1377582,10,FC1,160010037,TANK 180 WHT,EAST END PLUMBING SUPPLY,WHOLESALE,3,0,4/28/2023,6/5/2023,Week 23,June,0,LATE,0,Noncompliance Production/Availability,Waiting for product
1377582,10,FC1,137210040,BOWL 137 EL ADA WHT,EAST END PLUMBING SUPPLY,WHOLESALE,3,3,4/28/2023,6/5/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,waiting for product
1379204,10,FC1,013710017,CTK PRO-FIT 3 EL ADA WHT,TRUSERV CORP,RETAIL,170,170,5/30/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not route truck in timely manner
1379204,10,FC1,011710017,CTK PRO-FIT 4 RF ADA WHT,TRUSERV CORP,RETAIL,4,4,5/30/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not route truck in timely manner
1379420,10,FC1,123010000,TANK 123 LH QUANTUM WHT,FAMOUS SUPPLY CO AKRON,WHOLESALE,4,4,6/2/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not pick up by ship date
1379420,10,FC1,131900002,BOWL 1319 ADRIATIC EL ADA WHT,FAMOUS SUPPLY CO AKRON,WHOLESALE,1,1,6/2/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not pick up by ship date
1379420,10,FC1,125010000,TANK 125 WHT,FAMOUS SUPPLY CO AKRON,WHOLESALE,1,1,6/2/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not pick up by ship date
1379420,10,FC1,137210040,BOWL 137 EL ADA WHT,FAMOUS SUPPLY CO AKRON,WHOLESALE,72,72,6/2/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not pick up by ship date
1379420,10,FC1,160010037,TANK 180 WHT,FAMOUS SUPPLY CO AKRON,WHOLESALE,90,90,6/2/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not pick up by ship date
1379420,10,FC1,386010000,TANK 386 WHT,FAMOUS SUPPLY CO AKRON,WHOLESALE,5,5,6/2/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not pick up by ship date
1379420,10,FC1,016010040,TANK 160 RH WHT,FAMOUS SUPPLY CO AKRON,WHOLESALE,3,3,6/2/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not pick up by ship date
1379420,10,FC8,148010000,BOWL 148 EL ADA WHT,FAMOUS SUPPLY CO AKRON,WHOLESALE,3,3,6/2/2023,6/5/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,customer did not pick up by ship date
1379844,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,ACE HARDWARE CORP,RETAIL,1,0,6/5/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379902,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,"LARSON, J H ELECTRICAL",WHOLESALE,1,0,6/13/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379902,10,FC8,148010000,BOWL 148 EL ADA WHT,"LARSON, J H ELECTRICAL",WHOLESALE,4,0,6/13/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379961,10,FC4,103580000,BOWL 1035 EL WHT,WINNELSON MEMPHIS 249,WHOLESALE,90,0,6/13/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379994,10,FC8,218010001,LAV 218NS PET COVINGTON WHT,RUNDLE SPENCE MFG CO,WHOLESALE,2,0,6/14/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380000,10,FC1,380010000,BOWL 380 RD WHT,MONTGOMERY PLUMBING SUPPLY,WHOLESALE,18,0,6/14/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380000,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,MONTGOMERY PLUMBING SUPPLY,WHOLESALE,4,0,6/14/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380000,10,FC1,130010007,BOWL 130 RD WHT,MONTGOMERY PLUMBING SUPPLY,WHOLESALE,36,0,6/14/2023,6/5/2023,Week 23,June,0,ON TIME,0,Not enough/Too much weight for type of order ,cut to fill
1380000,10,FC1,384010000,BOWL 384 ADA WHT,MONTGOMERY PLUMBING SUPPLY,WHOLESALE,36,0,6/14/2023,6/5/2023,Week 23,June,0,ON TIME,0,Not enough/Too much weight for type of order ,cut to fill
1380058,10,FC1,173000000,TANK 173 WHT,CAROLINA PLUMBING SUPPLY,WHOLESALE,72,0,6/15/2023,6/5/2023,Week 23,June,0,ON TIME,0,Not enough/Too much weight for type of order ,cuto to fill
1380068,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,FAGER R F CO,WHOLESALE,6,0,6/15/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380068,10,FC1,385010000,"BOWL 385 ADA 10"" WHT",FAGER R F CO,WHOLESALE,5,0,6/15/2023,6/5/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1378645,10,RC1,004713261,HANGER LAV/475/401 URINAL STL,WEBB CO F W DOVER,WHOLESALE,10,10,5/18/2023,6/6/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,"insufficient stock, shipped when stock became available. "
1379467,10,FC8,295810000,"LAV 295 8""  AVA DROP IN WHT",LOWE'S COMPANIES INC,RETAIL-LOWES,2,2,6/5/2023,6/6/2023,Week 23,June,1,LATE,0,Not shipped by Warehouse,not packed by requested ship date
1379505,10,FC1,L53840019,CTK LWS SUMMIT EL ADA WH DF,LOWE'S COMPANIES INC,RETAIL-LOWES,8,8,6/5/2023,6/6/2023,Week 23,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379505,10,FC1,L53850017,"CTK LWS SUMMIT 10""EL ADA WH128",LOWE'S COMPANIES INC,RETAIL-LOWES,48,48,6/5/2023,6/6/2023,Week 23,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379505,10,FC1,L53880017,CTK LWS SUMMIT RD ADA WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,100,100,6/5/2023,6/6/2023,Week 23,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379505,10,FC1,L59970017,CTK LWS VANQ 2  EL ADA WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,8,8,6/5/2023,6/6/2023,Week 23,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379505,10,FC1,L53840017,CTK LWS SUMMIT EL ADA WH 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,16,16,6/5/2023,6/6/2023,Week 23,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379505,10,FC1,L59160517,CTK LWS DENALI EL ADA BN 1.28,LOWE'S COMPANIES INC,RETAIL-LOWES,16,16,6/5/2023,6/6/2023,Week 23,June,1,LATE,0,Carrier rescheduled/missed appointment,carrier rescheduled appointment
1379938,10,FC1,160010037,TANK 180 WHT,HAJOCA CORPORATION,WHOLESALE,80,0,6/13/2023,6/6/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380067,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,LEE SUPPLY CORP,WHOLESALE,1,0,6/15/2023,6/6/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380067,10,FC1,160010037,TANK 180 WHT,LEE SUPPLY CORP,WHOLESALE,108,0,6/15/2023,6/6/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380069,10,FC1,160010037,TANK 180 WHT,LEE SUPPLY CORP,WHOLESALE,108,0,6/15/2023,6/6/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380069,10,FC8,148010000,BOWL 148 EL ADA WHT,LEE SUPPLY CORP,WHOLESALE,4,0,6/15/2023,6/6/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380073,10,FC1,160010037,TANK 180 WHT,LEE SUPPLY CORP,WHOLESALE,36,0,6/15/2023,6/6/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380089,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,ECONOMY PLBG SUP CO INC,WHOLESALE,2,0,6/15/2023,6/6/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380096,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,CONNOR COMPANY,WHOLESALE,6,0,6/15/2023,6/6/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380191,10,FC1,317310040,TANK 3173 RH CTL WHT 1.28,CONSOLIDATED SUP CO,WHOLESALE,3,3,6/5/2023,6/6/2023,Week 23,June,1,LATE,0,Date wrong/not modified by Customer Service,"Ship by date was same day it was created, less than one day notice."
1379693,10,FC1,013510017,CTK PRO-FIT 2 EL WHT,"WALLACE HDWE CO, INC",RETAIL,32,32,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1379693,10,FC1,160010007,TANK 160 WHT,"WALLACE HDWE CO, INC",RETAIL,108,108,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1379693,10,FC1,137210040,BOWL 137 EL ADA WHT,"WALLACE HDWE CO, INC",RETAIL,36,36,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1379693,10,FC1,131900002,BOWL 1319 ADRIATIC EL ADA WHT,"WALLACE HDWE CO, INC",RETAIL,10,10,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1379693,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,"WALLACE HDWE CO, INC",RETAIL,18,0,6/6/2023,6/7/2023,Week 23,June,0,LATE,0,Noncompliance Production/Availability,no stock 
1379693,10,FC1,013010017,CTK PRO-FIT 1 RD WHT,"WALLACE HDWE CO, INC",RETAIL,10,10,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1379693,10,FC1,038210017,CTK SUMMIT 382 EL WHT,"WALLACE HDWE CO, INC",RETAIL,2,2,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1379693,10,FC1,016010040,TANK 160 RH WHT,"WALLACE HDWE CO, INC",RETAIL,2,2,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1379693,10,FC1,130010007,BOWL 130 RD WHT,"WALLACE HDWE CO, INC",RETAIL,18,18,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1379693,10,FC1,191760000,"LAV 1917C 4"" WHT","WALLACE HDWE CO, INC",RETAIL,12,12,6/6/2023,6/7/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,no stock
1380127,10,FC1,135010007,BOWL 135 EL WHT,CAROLINA PLUMBING SUPPLY,WHOLESALE,504,396,6/16/2023,6/7/2023,Week 23,June,0.785714286,ON TIME,0,Not enough/Too much weight for type of order ,cut to fill
1380282,10,FC8,328100000,LAV 328 1H WHT,CENTRAL SUP CO INDY,WHOLESALE,4,0,6/20/2023,6/7/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379212,10,FC1,L59880017,CTK LWS VANQ EL ADA WH 1.28,SEABOARD INTERNATIONAL FOREST,WHOLESALE,208,208,6/6/2023,6/8/2023,Week 23,June,1,LATE,0,Customer did not make/ missed appointment to receive an order,"Will call pickup, customer didi not pick up before required date. "
1379552,10,FC8,106010000,TANK 106 BARRETT WHT,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,123010000,TANK 123 LH QUANTUM WHT,WOLFF BROS SUPPLY INC,WHOLESALE,6,6,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,125010000,TANK 125 WHT,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,130010007,BOWL 130 RD WHT,WOLFF BROS SUPPLY INC,WHOLESALE,18,18,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,130010507,BOWL 130 RD BONE,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC8,130110001,BOWL 1301 WALL WH 1.28,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,131110001,BOWL 1311 BALTIC EL WHT,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,131900002,BOWL 1319 ADRIATIC EL ADA WHT,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,131910070,"BOWL 131 RD 10"" WHT",WOLFF BROS SUPPLY INC,WHOLESALE,3,3,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,135010507,BOWL 135 EL BONE,WOLFF BROS SUPPLY INC,WHOLESALE,1,1,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,137210040,BOWL 137 EL ADA WHT,WOLFF BROS SUPPLY INC,WHOLESALE,54,54,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,137210040,BOWL 137 EL ADA WHT,WOLFF BROS SUPPLY INC,WHOLESALE,38,38,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,137210540,BOWL 137 EL ADA BONE,WOLFF BROS SUPPLY INC,WHOLESALE,5,5,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,137214340,BOWL 137 EL ADA BISC,WOLFF BROS SUPPLY INC,WHOLESALE,3,3,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC8,148010000,BOWL 148 EL ADA WHT,WOLFF BROS SUPPLY INC,WHOLESALE,3,3,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,160010007,TANK 160 WHT,WOLFF BROS SUPPLY INC,WHOLESALE,38,38,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,160010007,TANK 160 WHT,WOLFF BROS SUPPLY INC,WHOLESALE,90,90,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,160010037,TANK 180 WHT,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,160010507,TANK 160 BONE,WOLFF BROS SUPPLY INC,WHOLESALE,6,6,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,160014307,TANK 160 BISC,WOLFF BROS SUPPLY INC,WHOLESALE,3,3,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,161310001,"LAV 1613NS 4"" WHT",WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,191760000,"LAV 1917C 4"" WHT",WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,202110001,"LAV 2018HB-NS 4"" WHT",WOLFF BROS SUPPLY INC,WHOLESALE,8,8,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,WOLFF BROS SUPPLY INC,WHOLESALE,6,0,6/7/2023,6/8/2023,Week 23,June,0,LATE,0,Noncompliance Production/Availability,no stock 
1379552,10,FC1,251410000,"LAV 251 4"" WHT",WOLFF BROS SUPPLY INC,WHOLESALE,4,4,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,267410070,"LAV 267 4"" WHT",WOLFF BROS SUPPLY INC,WHOLESALE,6,6,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,272414370,"LAV 272 4"" BISC",WOLFF BROS SUPPLY INC,WHOLESALE,1,0,6/7/2023,6/8/2023,Week 23,June,0,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,273014370,PEDESTAL 273 BISC,WOLFF BROS SUPPLY INC,WHOLESALE,1,1,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,382010000,BOWL 382 EL WHT,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,384010000,BOWL 384 ADA WHT,WOLFF BROS SUPPLY INC,WHOLESALE,6,6,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,386010000,TANK 386 WHT,WOLFF BROS SUPPLY INC,WHOLESALE,6,6,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,016010040,TANK 160 RH WHT,WOLFF BROS SUPPLY INC,WHOLESALE,3,3,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Noncompliance Production/Availability,No stock
1379552,10,FC1,388010000,"BOWL 388 RF 16 3/4"" HT WHT",WOLFF BROS SUPPLY INC,WHOLESALE,4,4,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,410010056,URINAL 410UHE .125GPF WHITE,WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC8,411510000,BOWL 4115 ADA WHT BARRETT 1.28,WOLFF BROS SUPPLY INC,WHOLESALE,3,3,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,011710010,"BOWL 117 RF 16-1/2"" HT WHT",WOLFF BROS SUPPLY INC,WHOLESALE,6,6,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,011714310,"BOWL 117 RF 16-1/2"" HT BISC",WOLFF BROS SUPPLY INC,WHOLESALE,2,2,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,013810000,"BOWL 138 EL 10"" WHT",WOLFF BROS SUPPLY INC,WHOLESALE,1,1,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379552,10,FC1,013910000,"BOWL 139NS EL ADA 10"" WHT",WOLFF BROS SUPPLY INC,WHOLESALE,1,1,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not posted until next business day ,"was picked up late on the 7th, posted next day"
1379687,10,FC8,101200000,TANK 1012 MAVERICK 1.0 GPF WHT,BARGER AGENCY,WHOLESALE,1,1,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not shipped by Warehouse,Not packed by requested date
1379687,10,FC8,101400000,BOWL 1014 MAVK EL ADA 1GPF WHT,BARGER AGENCY,WHOLESALE,1,1,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not shipped by Warehouse,Not packed by requested date
1379698,10,FC1,135010007,BOWL 135 EL WHT,WINDSOR FACTORY SUPPLY,WHOLESALE,18,18,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not shipped by Warehouse,Not packed by requested date
1379698,10,FC1,237410000,"LAV 237 4"" WHT MS OVAL 20X17",WINDSOR FACTORY SUPPLY,WHOLESALE,45,45,6/7/2023,6/8/2023,Week 23,June,1,LATE,0,Not shipped by Warehouse,Not packed by requested date
1379776,10,FC1,385010000,"BOWL 385 ADA 10"" WHT",G & G ELECTRIC & PLUMBING DIST,RETAIL,4,0,6/22/2023,6/8/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1379816,10,FC1,385010000,"BOWL 385 ADA 10"" WHT",G & G ELECTRIC & PLUMBING DIST,RETAIL,7,0,6/23/2023,6/8/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380181,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,NELCO INC,WHOLESALE,2,0,6/19/2023,6/8/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock 
1380181,10,FC8,148010000,BOWL 148 EL ADA WHT,NELCO INC,WHOLESALE,12,0,6/19/2023,6/8/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380201,10,FC1,385010000,"BOWL 385 ADA 10"" WHT",NORTHWEST PIPE FITTINGS,WHOLESALE,6,0,6/19/2023,6/8/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380201,10,FC8,401010055,URINAL 401HE .5 GPF WH ADAM,NORTHWEST PIPE FITTINGS,WHOLESALE,3,0,6/19/2023,6/8/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock 
1380202,10,FC1,385010000,"BOWL 385 ADA 10"" WHT",DAKOTA WHOLESALE PLBG & ELEC,WHOLESALE,12,0,6/19/2023,6/8/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
1380204,10,FC1,385010000,"BOWL 385 ADA 10"" WHT",DAKOTA WHOLESALE PLBG & ELEC,WHOLESALE,3,0,6/19/2023,6/8/2023,Week 23,June,0,ON TIME,0,Noncompliance Production/Availability,no stock
